algorithm,N,M,adjust_sample_adaptive,compute_cost_matrix,get_accum_cost_and_steps,retrieve_path,adjust_sample
DTW1,100,100,1.9073486328125e-06,0.0001494884490966797,0.0003612041473388672,2.8371810913085938e-05,7.152557373046875e-07
DTW1,100,100,9.5367431640625e-07,0.00011420249938964844,0.0001633167266845703,1.2874603271484375e-05,4.76837158203125e-07
DTW1,100,100,1.1920928955078125e-06,0.00011181831359863281,0.0001556873321533203,1.1682510375976562e-05,4.76837158203125e-07
DTW1,100,100,1.1920928955078125e-06,0.00011014938354492188,0.00015473365783691406,1.1444091796875e-05,2.384185791015625e-07
DTW1,100,100,1.430511474609375e-06,0.00011014938354492188,0.0001533031463623047,1.1205673217773438e-05,4.76837158203125e-07
DTW1,100,100,7.152557373046875e-07,0.00011038780212402344,0.00015282630920410156,1.0967254638671875e-05,2.384185791015625e-07
DTW1,100,100,9.5367431640625e-07,0.00010967254638671875,0.00015282630920410156,1.1444091796875e-05,2.384185791015625e-07
DTW1,100,100,9.5367431640625e-07,0.00011014938354492188,0.00015234947204589844,1.0728836059570312e-05,2.384185791015625e-07
DTW1,100,100,1.1920928955078125e-06,0.00010967254638671875,0.000152587890625,1.1444091796875e-05,4.76837158203125e-07
DTW1,100,100,7.152557373046875e-07,0.00010991096496582031,0.00015306472778320312,1.0251998901367188e-05,4.76837158203125e-07
DTW1,100,200,1.1920928955078125e-06,0.0002129077911376953,0.00043964385986328125,1.5020370483398438e-05,4.76837158203125e-07
DTW1,100,200,9.5367431640625e-07,0.00022935867309570312,0.0004248619079589844,1.2159347534179688e-05,4.76837158203125e-07
DTW1,100,200,9.5367431640625e-07,0.0002117156982421875,0.0003743171691894531,1.1682510375976562e-05,2.384185791015625e-07
DTW1,100,200,9.5367431640625e-07,0.0001881122589111328,0.00036835670471191406,1.0967254638671875e-05,4.76837158203125e-07
DTW1,100,200,9.5367431640625e-07,0.00018835067749023438,0.0003666877746582031,1.1444091796875e-05,4.76837158203125e-07
DTW1,100,200,7.152557373046875e-07,0.0001914501190185547,0.00037217140197753906,1.0967254638671875e-05,4.76837158203125e-07
DTW1,100,200,9.5367431640625e-07,0.00018835067749023438,0.0004487037658691406,1.2636184692382812e-05,7.152557373046875e-07
DTW1,100,200,1.1920928955078125e-06,0.0002071857452392578,0.0004036426544189453,1.1682510375976562e-05,2.384185791015625e-07
DTW1,100,200,9.5367431640625e-07,0.00021457672119140625,0.0003662109375,1.0728836059570312e-05,4.76837158203125e-07
DTW1,100,200,1.1920928955078125e-06,0.00019097328186035156,0.00037169456481933594,1.0967254638671875e-05,2.384185791015625e-07
