algorithm,global_time_warp,error_100,error_200,error_500
DTW1,1.0,27.71121212121212,14.182242424242425,4.955818181818182
DTW1,1.26,27.54,14.00030303030303,5.0461212121212125
DTW1,1.587,34.647393939393936,20.342484848484848,10.245939393939393
DTW1,2.0,97.54745454545454,95.14472727272727,88.18836363636363
DTW1,2.521,100.0,100.0,100.0
DTW1,3.175,100.0,100.0,100.0
DTW1,4.0,100.0,100.0,100.0
DTW2,1.0,22.647030303030302,10.81248484848485,4.261272727272727
DTW2,1.26,23.97830303030303,11.53569696969697,4.666848484848485
DTW2,1.587,33.43060606060606,19.648,10.430484848484848
DTW2,2.0,97.55024242424243,95.14678787878788,88.18915151515152
DTW2,2.521,100.0,100.0,100.0
DTW2,3.175,100.0,100.0,100.0
DTW2,4.0,100.0,100.0,100.0
DTW3,1.0,44.880242424242425,33.60218181818182,17.482545454545452
DTW3,1.26,44.57036363636364,33.64684848484848,17.54581818181818
DTW3,1.587,44.50054545454545,33.84157575757576,17.860787878787878
DTW3,2.0,43.1129696969697,32.697818181818185,16.798545454545454
DTW3,2.521,43.67993939393939,33.52224242424243,17.431030303030305
DTW3,3.175,44.008,34.01048484848485,17.99109090909091
DTW3,4.0,45.336969696969696,35.44854545454545,19.058969696969697
DTW4,1.0,31.313090909090906,20.35218181818182,9.851212121212122
DTW4,1.26,33.14187878787879,21.653757575757577,10.134848484848485
DTW4,1.587,35.87539393939394,23.769151515151517,10.83
DTW4,2.0,37.41206060606061,25.28181818181818,10.94678787878788
DTW4,2.521,39.84066666666667,27.82769696969697,12.234242424242424
DTW4,3.175,41.27490909090909,29.73230303030303,13.60769696969697
DTW4,4.0,43.572,32.04957575757576,15.088181818181818
DTW5,1.0,45.31939393939394,33.8549696969697,17.592606060606062
DTW5,1.26,44.89951515151515,33.844121212121216,17.651090909090907
DTW5,1.587,44.872424242424245,34.06490909090909,17.973454545454544
DTW5,2.0,43.42818181818181,32.885999999999996,16.885878787878788
DTW5,2.521,44.01921212121212,33.72757575757576,17.538969696969698
DTW5,3.175,44.26478787878788,34.16969696969697,18.072
DTW5,4.0,45.60909090909091,35.627575757575755,19.14781818181818
DTW1_add3,1.0,33.65321212121212,19.091878787878787,6.790969696969697
DTW1_add3,1.26,32.68569696969697,18.427575757575756,6.421818181818181
DTW1_add3,1.587,31.918424242424244,17.312727272727273,5.826424242424243
DTW1_add3,2.0,30.268181818181816,15.482606060606061,5.411212121212121
DTW1_add3,2.521,42.84351515151515,27.18921212121212,15.285515151515153
DTW1_add3,3.175,100.0,100.0,100.0
DTW1_add3,4.0,100.0,100.0,100.0
DTW1_add4,1.0,37.13351515151515,22.052545454545456,8.30648484848485
DTW1_add4,1.26,36.19175757575758,21.497272727272726,8.041090909090908
DTW1_add4,1.587,35.80133333333333,20.84539393939394,7.584787878787878
DTW1_add4,2.0,33.047393939393935,18.229636363636363,5.961757575757575
DTW1_add4,2.521,33.27690909090909,16.72078787878788,5.4588484848484855
DTW1_add4,3.175,38.187636363636365,21.414424242424243,10.375818181818182
DTW1_add4,4.0,97.5371515151515,95.0930303030303,88.05951515151516
DTW2_downsampleQuantized,1.0,27.81442424242424,14.216545454545454,4.951636363636363
DTW2_downsampleQuantized,1.26,28.11060606060606,14.164969696969699,4.7742424242424235
DTW2_downsampleQuantized,1.587,29.921212121212122,14.67139393939394,4.841757575757575
DTW2_downsampleQuantized,2.0,30.053939393939395,14.249939393939393,4.367515151515152
DTW2_downsampleQuantized,2.521,33.941272727272725,15.275939393939394,4.448242424242424
DTW2_downsampleQuantized,3.175,34.99078787878788,15.41581818181818,4.442727272727272
DTW2_downsampleQuantized,4.0,41.90866666666667,17.50448484848485,4.392727272727273
DTW2_downsampleInterpolate,1.0,27.800363636363635,14.235151515151514,4.971575757575757
DTW2_downsampleInterpolate,1.26,28.142848484848486,14.199151515151515,4.784969696969697
DTW2_downsampleInterpolate,1.587,29.904848484848483,14.71381818181818,4.859393939393939
DTW2_downsampleInterpolate,2.0,30.106545454545454,14.30339393939394,4.386121212121212
DTW2_downsampleInterpolate,2.521,33.902242424242424,15.307030303030302,4.46860606060606
DTW2_downsampleInterpolate,3.175,34.986060606060605,15.441818181818181,4.455333333333334
DTW2_downsampleInterpolate,4.0,41.87678787878788,17.523272727272726,4.392787878787878
adaptiveWeight1,1.0,45.31939393939394,33.855030303030304,17.592848484848485
adaptiveWeight1,1.26,44.90278787878788,33.73442424242425,17.524424242424242
adaptiveWeight1,1.587,44.90533333333334,33.82872727272727,17.650727272727273
adaptiveWeight1,2.0,43.28151515151515,32.37078787878788,16.364121212121212
adaptiveWeight1,2.521,43.725878787878784,32.98436363636363,16.731878787878788
adaptiveWeight1,3.175,43.618,32.99642424242425,16.935454545454544
adaptiveWeight1,4.0,45.00757575757576,34.49709090909091,17.959030303030303
adaptiveWeight2,1.0,44.88060606060606,33.60218181818182,17.482969696969697
adaptiveWeight2,1.26,44.56339393939394,33.53921212121212,17.43078787878788
adaptiveWeight2,1.587,44.488787878787875,33.59733333333333,17.544060606060604
adaptiveWeight2,2.0,42.92393939393939,32.173515151515154,16.26957575757576
adaptiveWeight2,2.521,43.34109090909091,32.762,16.636666666666667
adaptiveWeight2,3.175,43.32060606060606,32.83581818181818,16.862424242424243
adaptiveWeight2,4.0,44.70696969696969,34.30890909090909,17.86630303030303
selectiveTransitions2,1.0,28.205272727272728,14.445878787878788,5.004909090909091
selectiveTransitions2,1.26,27.932606060606062,14.21230303030303,5.081939393939394
selectiveTransitions2,1.587,34.8800606060606,20.452545454545454,10.256666666666666
selectiveTransitions2,2.0,97.5690303030303,95.1688484848485,88.22545454545454
selectiveTransitions2,2.521,100.0,100.0,100.0
selectiveTransitions2,3.175,100.0,100.0,100.0
selectiveTransitions2,4.0,100.0,100.0,100.0
selectiveTransitions3,1.0,34.24109090909091,19.56351515151515,6.957090909090908
selectiveTransitions3,1.26,33.28757575757576,18.904363636363637,6.595272727272727
selectiveTransitions3,1.587,32.448727272727275,17.78381818181818,5.974363636363637
selectiveTransitions3,2.0,30.710666666666665,15.839333333333332,5.47569696969697
selectiveTransitions3,2.521,42.97145454545455,27.28230303030303,15.232242424242424
selectiveTransitions3,3.175,100.0,100.0,100.0
selectiveTransitions3,4.0,100.0,100.0,100.0
selectiveTransitions4,1.0,37.25048484848485,22.53151515151515,8.568727272727273
selectiveTransitions4,1.26,36.51284848484849,22.006969696969698,8.33351515151515
selectiveTransitions4,1.587,35.99406060606061,21.374242424242425,7.865515151515151
selectiveTransitions4,2.0,33.425393939393935,18.75587878787879,6.177090909090909
selectiveTransitions4,2.521,33.57739393939394,17.247696969696968,5.569090909090909
selectiveTransitions4,3.175,38.397090909090906,21.62781818181818,10.330242424242424
selectiveTransitions4,4.0,97.46654545454545,94.99078787878787,87.84539393939393
selectiveTransitions5,1.0,38.98230303030303,24.472121212121213,9.704363636363636
selectiveTransitions5,1.26,38.34939393939394,24.044181818181816,9.616666666666667
selectiveTransitions5,1.587,38.071636363636365,23.68357575757576,9.32739393939394
selectiveTransitions5,2.0,35.76612121212121,21.381454545454545,7.679636363636363
selectiveTransitions5,2.521,35.842484848484844,20.160424242424245,6.632727272727272
selectiveTransitions5,3.175,34.42648484848485,17.603151515151517,5.757212121212121
selectiveTransitions5,4.0,42.30387878787879,23.122545454545453,10.75751515151515
