algorithm,global_time_warp,error_100,error_200,error_500
DTW1,1.0,29.43813131313131,15.654040404040403,4.529040404040404
DTW1,1.26,28.285353535353536,14.402777777777779,3.6565656565656566
DTW1,1.587,36.41666666666667,21.630050505050505,9.77651515151515
DTW1,2.0,98.05555555555556,96.20454545454545,90.69949494949495
DTW1,2.521,100.0,100.0,100.0
DTW1,3.175,100.0,100.0,100.0
DTW1,4.0,100.0,100.0,100.0
DTW2,1.0,24.2020202020202,11.508838383838384,3.6439393939393936
DTW2,1.26,24.670454545454547,11.337121212121213,3.2032828282828283
DTW2,1.587,35.082070707070706,20.61111111111111,9.892676767676768
DTW2,2.0,98.05934343434343,96.20580808080808,90.70075757575758
DTW2,2.521,100.0,100.0,100.0
DTW2,3.175,100.0,100.0,100.0
DTW2,4.0,100.0,100.0,100.0
DTW3,1.0,46.910353535353536,36.851010101010104,20.623737373737374
DTW3,1.26,45.503787878787875,35.535353535353536,19.151515151515152
DTW3,1.587,45.29924242424242,35.73989898989899,19.4709595959596
DTW3,2.0,44.16287878787879,35.12247474747475,19.11868686868687
DTW3,2.521,44.14646464646464,35.25757575757576,19.57323232323232
DTW3,3.175,44.91414141414141,36.369949494949495,20.809343434343432
DTW3,4.0,45.95959595959596,37.57070707070707,22.00378787878788
DTW4,1.0,33.8459595959596,23.31818181818182,11.542929292929292
DTW4,1.26,34.53914141414142,23.268939393939394,10.327020202020202
DTW4,1.587,37.10353535353536,25.60479797979798,10.88510101010101
DTW4,2.0,38.81313131313131,27.859848484848488,11.7739898989899
DTW4,2.521,41.0770202020202,30.46212121212121,13.434343434343434
DTW4,3.175,42.63131313131313,32.42424242424242,15.376262626262626
DTW4,4.0,44.59722222222222,34.590909090909086,17.209595959595962
DTW5,1.0,47.27777777777778,37.07449494949495,20.737373737373737
DTW5,1.26,45.869949494949495,35.76010101010101,19.305555555555557
DTW5,1.587,45.601010101010104,35.93939393939394,19.55429292929293
DTW5,2.0,44.48611111111111,35.321969696969695,19.214646464646464
DTW5,2.521,44.46085858585859,35.44318181818182,19.693181818181817
DTW5,3.175,45.12626262626262,36.51388888888889,20.909090909090907
DTW5,4.0,46.166666666666664,37.67929292929293,22.075757575757578
DTW1_add3,1.0,35.42171717171717,21.556818181818183,7.252525252525252
DTW1_add3,1.26,33.401515151515156,19.424242424242426,5.63510101010101
DTW1_add3,1.587,32.36363636363636,18.238636363636363,4.858585858585859
DTW1_add3,2.0,31.041666666666668,16.291666666666664,4.383838383838383
DTW1_add3,2.521,45.00631313131313,29.185606060606062,16.17171717171717
DTW1_add3,3.175,100.0,100.0,100.0
DTW1_add3,4.0,100.0,100.0,100.0
DTW1_add4,1.0,39.14646464646464,24.87121212121212,9.382575757575758
DTW1_add4,1.26,36.97727272727273,22.6489898989899,7.5858585858585865
DTW1_add4,1.587,36.16161616161616,21.724747474747474,7.068181818181818
DTW1_add4,2.0,33.48989898989899,19.35479797979798,5.4356060606060606
DTW1_add4,2.521,33.963383838383834,17.724747474747474,4.627525252525253
DTW1_add4,3.175,39.92045454545455,23.276515151515152,10.428030303030303
DTW1_add4,4.0,97.98737373737374,96.09217171717171,90.41666666666667
DTW2_downsampleQuantized,1.0,29.454545454545457,15.737373737373735,4.5353535353535355
DTW2_downsampleQuantized,1.26,28.9520202020202,14.633838383838386,3.3901515151515156
DTW2_downsampleQuantized,1.587,30.97348484848485,15.373737373737374,3.5606060606060606
DTW2_downsampleQuantized,2.0,31.125000000000004,15.031565656565657,3.2234848484848486
DTW2_downsampleQuantized,2.521,34.91161616161616,16.21969696969697,3.4090909090909087
DTW2_downsampleQuantized,3.175,35.724747474747474,16.36868686868687,3.4848484848484853
DTW2_downsampleQuantized,4.0,42.29545454545455,18.435606060606062,3.608585858585859
DTW2_downsampleInterpolate,1.0,29.49747474747475,15.743686868686869,4.542929292929293
DTW2_downsampleInterpolate,1.26,28.98989898989899,14.689393939393938,3.40530303030303
DTW2_downsampleInterpolate,1.587,30.8219696969697,15.392676767676768,3.5492424242424243
DTW2_downsampleInterpolate,2.0,31.15909090909091,15.070707070707071,3.224747474747475
DTW2_downsampleInterpolate,2.521,34.77272727272727,16.244949494949495,3.438131313131313
DTW2_downsampleInterpolate,3.175,35.69191919191919,16.36111111111111,3.525252525252525
DTW2_downsampleInterpolate,4.0,42.266414141414145,18.498737373737374,3.640151515151515
adaptiveWeight1,1.0,47.27777777777778,37.07449494949495,20.737373737373737
adaptiveWeight1,1.26,45.891414141414145,35.657828282828284,19.1010101010101
adaptiveWeight1,1.587,45.81944444444444,35.79419191919192,19.276515151515152
adaptiveWeight1,2.0,44.368686868686865,34.73232323232323,18.566919191919194
adaptiveWeight1,2.521,44.3270202020202,34.75883838383839,18.765151515151516
adaptiveWeight1,3.175,44.2790404040404,34.95328282828283,19.218434343434343
adaptiveWeight1,4.0,45.27777777777778,36.16414141414141,20.448232323232325
adaptiveWeight2,1.0,46.91287878787879,36.85353535353536,20.626262626262626
adaptiveWeight2,1.26,45.60606060606061,35.486111111111114,19.02020202020202
adaptiveWeight2,1.587,45.43939393939394,35.55934343434343,19.161616161616163
adaptiveWeight2,2.0,44.0479797979798,34.62121212121212,18.51010101010101
adaptiveWeight2,2.521,43.87373737373738,34.51262626262626,18.62878787878788
adaptiveWeight2,3.175,44.04545454545455,34.775252525252526,19.12121212121212
adaptiveWeight2,4.0,45.0,36.0,20.406565656565657
selectiveTransitions2,1.0,29.823232323232325,15.88510101010101,4.565656565656566
selectiveTransitions2,1.26,28.627525252525253,14.645202020202019,3.688131313131313
selectiveTransitions2,1.587,36.5959595959596,21.68813131313131,9.780303030303031
selectiveTransitions2,2.0,98.07323232323232,96.22853535353535,90.75883838383838
selectiveTransitions2,2.521,100.0,100.0,100.0
selectiveTransitions2,3.175,100.0,100.0,100.0
selectiveTransitions2,4.0,100.0,100.0,100.0
selectiveTransitions3,1.0,36.041666666666664,22.116161616161616,7.497474747474747
selectiveTransitions3,1.26,33.86111111111111,19.80429292929293,5.847222222222222
selectiveTransitions3,1.587,32.765151515151516,18.712121212121215,5.083333333333333
selectiveTransitions3,2.0,31.48484848484848,16.68939393939394,4.428030303030303
selectiveTransitions3,2.521,45.09343434343434,29.380050505050505,16.180555555555557
selectiveTransitions3,3.175,100.0,100.0,100.0
selectiveTransitions3,4.0,100.0,100.0,100.0
selectiveTransitions4,1.0,39.15909090909091,25.33712121212121,9.724747474747474
selectiveTransitions4,1.26,37.13383838383839,22.991161616161616,7.8396464646464645
selectiveTransitions4,1.587,36.34722222222222,22.356060606060606,7.411616161616162
selectiveTransitions4,2.0,33.76136363636363,19.81439393939394,5.7020202020202015
selectiveTransitions4,2.521,34.12752525252525,18.252525252525253,4.75
selectiveTransitions4,3.175,40.157828282828284,23.44949494949495,10.40909090909091
selectiveTransitions4,4.0,97.98232323232324,96.08080808080808,90.37121212121212
selectiveTransitions5,1.0,40.890151515151516,27.324494949494948,11.09848484848485
selectiveTransitions5,1.26,39.08459595959596,25.155303030303028,9.373737373737374
selectiveTransitions5,1.587,38.37626262626262,24.606060606060606,9.037878787878787
selectiveTransitions5,2.0,36.14772727272727,22.60479797979798,7.590909090909091
selectiveTransitions5,2.521,36.13636363636364,21.329545454545453,6.40530303030303
selectiveTransitions5,3.175,34.69570707070707,18.464646464646464,5.03030303030303
selectiveTransitions5,4.0,43.83838383838384,25.330808080808083,11.376262626262626
