algorithm,global_time_warp,error_100,error_200,error_500
DTW1,1.0,26.111111111111114,14.545454545454545,4.292929292929292
DTW1,1.26,26.31313131313131,14.444444444444443,3.585858585858586
DTW1,1.587,38.535353535353536,23.333333333333332,11.262626262626263
DTW1,2.0,98.98989898989899,97.52525252525253,94.14141414141413
DTW1,2.521,100.0,100.0,100.0
DTW1,3.175,100.0,100.0,100.0
DTW1,4.0,100.0,100.0,100.0
DTW2,1.0,21.91919191919192,10.707070707070706,3.1818181818181817
DTW2,1.26,22.32323232323232,10.05050505050505,2.7777777777777777
DTW2,1.587,35.45454545454545,21.262626262626263,10.95959595959596
DTW2,2.0,98.98989898989899,97.52525252525253,94.14141414141413
DTW2,2.521,100.0,100.0,100.0
DTW2,3.175,100.0,100.0,100.0
DTW2,4.0,100.0,100.0,100.0
DTW3,1.0,41.91919191919192,34.74747474747475,18.232323232323232
DTW3,1.26,41.515151515151516,33.83838383838384,17.424242424242426
DTW3,1.587,46.464646464646464,37.676767676767675,20.555555555555554
DTW3,2.0,43.282828282828284,35.65656565656566,17.97979797979798
DTW3,2.521,44.898989898989896,36.96969696969697,19.393939393939394
DTW3,3.175,45.25252525252525,38.131313131313135,20.909090909090907
DTW3,4.0,45.0,38.333333333333336,22.02020202020202
DTW4,1.0,30.555555555555557,22.12121212121212,10.606060606060606
DTW4,1.26,30.404040404040405,22.171717171717173,9.444444444444445
DTW4,1.587,35.75757575757576,25.050505050505052,9.696969696969697
DTW4,2.0,37.474747474747474,27.82828282828283,10.404040404040405
DTW4,2.521,40.80808080808081,29.797979797979796,13.232323232323232
DTW4,3.175,42.323232323232325,33.23232323232323,15.404040404040403
DTW4,4.0,43.93939393939394,36.06060606060606,16.616161616161616
DTW5,1.0,42.12121212121212,34.7979797979798,18.333333333333332
DTW5,1.26,41.91919191919192,34.04040404040404,17.525252525252526
DTW5,1.587,46.86868686868687,37.878787878787875,20.656565656565657
DTW5,2.0,43.18181818181818,35.8080808080808,18.03030303030303
DTW5,2.521,45.05050505050505,37.07070707070707,19.29292929292929
DTW5,3.175,45.909090909090914,38.43434343434343,21.06060606060606
DTW5,4.0,45.60606060606061,38.686868686868685,22.474747474747474
DTW1_add3,1.0,31.262626262626263,19.848484848484848,6.969696969696971
DTW1_add3,1.26,31.060606060606062,19.646464646464644,5.505050505050505
DTW1_add3,1.587,33.131313131313135,18.838383838383837,4.040404040404041
DTW1_add3,2.0,32.02020202020202,17.22222222222222,3.8383838383838382
DTW1_add3,2.521,46.01010101010101,29.545454545454547,14.949494949494948
DTW1_add3,3.175,100.0,100.0,100.0
DTW1_add3,4.0,100.0,100.0,100.0
DTW1_add4,1.0,34.64646464646465,22.92929292929293,8.585858585858585
DTW1_add4,1.26,35.0,22.87878787878788,7.828282828282829
DTW1_add4,1.587,36.06060606060606,22.575757575757578,6.262626262626263
DTW1_add4,2.0,34.696969696969695,22.02020202020202,5.858585858585859
DTW1_add4,2.521,34.74747474747475,18.08080808080808,4.797979797979798
DTW1_add4,3.175,42.62626262626263,26.666666666666668,12.525252525252526
DTW1_add4,4.0,98.88888888888889,97.62626262626263,94.14141414141413
DTW2_downsampleQuantized,1.0,26.36363636363636,14.696969696969697,4.292929292929292
DTW2_downsampleQuantized,1.26,27.373737373737374,14.343434343434344,3.585858585858586
DTW2_downsampleQuantized,1.587,31.01010101010101,15.202020202020202,3.535353535353535
DTW2_downsampleQuantized,2.0,30.656565656565654,15.454545454545453,3.1818181818181817
DTW2_downsampleQuantized,2.521,35.2020202020202,16.414141414141415,4.191919191919192
DTW2_downsampleQuantized,3.175,35.70707070707071,17.67676767676768,4.545454545454546
DTW2_downsampleQuantized,4.0,40.4040404040404,18.03030303030303,4.444444444444445
DTW2_downsampleInterpolate,1.0,26.616161616161616,14.595959595959595,4.292929292929292
DTW2_downsampleInterpolate,1.26,26.91919191919192,14.545454545454545,3.6363636363636362
DTW2_downsampleInterpolate,1.587,30.909090909090907,15.353535353535353,3.686868686868687
DTW2_downsampleInterpolate,2.0,31.01010101010101,15.757575757575756,3.1818181818181817
DTW2_downsampleInterpolate,2.521,35.70707070707071,16.666666666666664,4.292929292929292
DTW2_downsampleInterpolate,3.175,35.75757575757576,17.87878787878788,4.494949494949495
DTW2_downsampleInterpolate,4.0,40.35353535353535,18.181818181818183,4.444444444444445
adaptiveWeight1,1.0,42.12121212121212,34.7979797979798,18.333333333333332
adaptiveWeight1,1.26,41.96969696969697,33.98989898989899,17.474747474747474
adaptiveWeight1,1.587,46.76767676767677,37.77777777777778,20.2020202020202
adaptiveWeight1,2.0,42.77777777777778,34.64646464646465,16.767676767676768
adaptiveWeight1,2.521,44.494949494949495,36.06060606060606,19.7979797979798
adaptiveWeight1,3.175,45.45454545454545,37.42424242424243,21.515151515151516
adaptiveWeight1,4.0,44.343434343434346,36.91919191919192,21.06060606060606
adaptiveWeight2,1.0,41.91919191919192,34.74747474747475,18.232323232323232
adaptiveWeight2,1.26,41.41414141414141,33.88888888888889,17.323232323232325
adaptiveWeight2,1.587,46.61616161616162,37.42424242424243,20.252525252525253
adaptiveWeight2,2.0,42.27272727272727,34.44444444444444,16.616161616161616
adaptiveWeight2,2.521,43.888888888888886,35.858585858585855,19.5959595959596
adaptiveWeight2,3.175,45.20202020202021,37.17171717171717,21.515151515151516
adaptiveWeight2,4.0,44.24242424242424,36.666666666666664,20.80808080808081
selectiveTransitions2,1.0,26.86868686868687,14.696969696969697,4.494949494949495
selectiveTransitions2,1.26,26.81818181818182,14.494949494949495,3.585858585858586
selectiveTransitions2,1.587,38.686868686868685,23.232323232323232,11.212121212121213
selectiveTransitions2,2.0,99.0909090909091,97.52525252525253,94.24242424242424
selectiveTransitions2,2.521,100.0,100.0,100.0
selectiveTransitions2,3.175,100.0,100.0,100.0
selectiveTransitions2,4.0,100.0,100.0,100.0
selectiveTransitions3,1.0,31.666666666666664,20.505050505050505,7.02020202020202
selectiveTransitions3,1.26,30.95959595959596,20.0,5.909090909090909
selectiveTransitions3,1.587,32.72727272727273,19.04040404040404,4.292929292929292
selectiveTransitions3,2.0,32.07070707070707,17.77777777777778,3.888888888888889
selectiveTransitions3,2.521,45.85858585858586,29.848484848484848,15.1010101010101
selectiveTransitions3,3.175,100.0,100.0,100.0
