,time_warp,steps,align_type,0,1,2,3,4,5,6
0,2.521,"[[1, 1], [1, 2], [2, 1]]",DTW1,,,,,,,
1,1.26,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,0.15762964767502055,0.3314230031365145,0.510947349188465,0.0,0.0,0.0,0.0
2,1.587,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,0.386573293831716,0.613426706168284,0.0,0.0,0.0,0.0,0.0
3,3.175,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1]]",DTW1_add3,,,,,,,
4,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,,,,,,,
5,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,0.1636552964050666,0.4181723517974667,0.4181723517974667,0.0,0.0,0.0,0.0
6,2.521,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,,,,,,,
7,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions5,0.03378696584112006,0.7584098801512303,0.20780315400764954,0.0,0.0,0.0,0.0
8,2.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,0.11637495585324387,0.0417730979934786,0.07497967195880184,0.03558023210927041,0.08663441557908225,0.10628896207896314,0.5383686644271599
9,2.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions5,0.18244837273874237,0.591189009947892,0.22636261731336563,0.0,0.0,0.0,0.0
10,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW2,0.00020395936109730137,0.0,0.9997960406389027,0.0,0.0,0.0,0.0
11,1.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions4,0.3596494298130487,0.359658179484936,0.28069239070201535,0.0,0.0,0.0,0.0
12,4.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleInterpolate,0.1901714870744817,0.40491425646275914,0.40491425646275914,0.0,0.0,0.0,0.0
13,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,0.1155128618826586,0.4422435690586707,0.4422435690586707,0.0,0.0,0.0,0.0
14,1.26,"[[0, 1], [1, 0], [1, 1]]",DTW3,0.40775329226961604,0.5299424722584403,0.06230423547194372,0.0,0.0,0.0,0.0
15,3.175,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,0.04941747886142129,0.01545052604401988,0.04378590331117279,0.011263151100496999,0.06367391725295295,0.026003679080875235,0.7904053443490608
16,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions3,,,,,,,
17,1.0,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,0.4999965840072328,0.5000034159927672,0.0,0.0,0.0,0.0,0.0
18,1.587,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,0.1441381539456065,0.055104585122593155,0.0791614720413723,0.04915731634113681,0.08540425728401903,0.15215403795539548,0.4348801773098767
19,1.0,"[[0, 1], [1, 0], [1, 1]]",DTW4,0.22207459058795184,0.22208522006561932,0.5558401893464289,0.0,0.0,0.0,0.0
20,4.0,"[[1, 1], [1, 2], [2, 1]]",DTW1,,,,,,,
21,4.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1]]",DTW1_add3,,,,,,,
22,2.521,"[[1, 1], [1, 2], [2, 1]]",DTW2,,,,,,,
23,1.26,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions5,0.3131775092982953,0.454879060090078,0.23194343061162673,0.0,0.0,0.0,0.0
24,1.587,"[[0, 1], [1, 0]]",DTW5,0.386573293831716,0.613426706168284,0.0,0.0,0.0,0.0,0.0
25,1.587,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1]]",DTW1_add3,0.12959243851511817,0.054989719313345765,0.09195237412135993,0.1671528076634948,0.5563126603866814,0.0,0.0
26,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW4,0.020347098881679355,0.7550494006765259,0.22460350044179467,0.0,0.0,0.0,0.0
27,1.26,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions4,0.28785764670143804,0.4347830564151147,0.2773592968834472,0.0,0.0,0.0,0.0
28,1.587,"[[1, 1], [1, 2], [2, 1]]",DTW2,0.35449958934647424,0.02267980757949079,0.622820603074035,0.0,0.0,0.0,0.0
29,1.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleInterpolate,0.14660931042549322,0.4266953447872534,0.4266953447872534,0.0,0.0,0.0,0.0
30,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions5,0.07628074309398077,0.7089899223664555,0.21472933453956367,0.0,0.0,0.0,0.0
31,2.521,"[[0, 1], [1, 0], [1, 1]]",DTW4,0.04603167653593984,0.6215015159641423,0.3324668074999179,0.0,0.0,0.0,0.0
32,1.26,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,0.12797778181535027,0.4360111090923249,0.4360111090923249,0.0,0.0,0.0,0.0
33,2.521,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleInterpolate,0.1772580710991388,0.4113709644504306,0.4113709644504306,0.0,0.0,0.0,0.0
