,time_warp,steps,align_type,0,1,2,3,4,5,6
0,2.521,"[[1, 1], [1, 2], [2, 1]]",DTW1,0,0,0,0.0,0.0,0.0,0.0
1,1.26,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,51764,108836,167790,0.0,0.0,0.0,0.0
2,1.587,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,174326,276626,0.0,0.0,0.0,0.0,0.0
3,3.175,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1]]",DTW1_add3,0,0,0,0.0,0.0,0.0,0.0
4,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,0,0,0,0.0,0.0,0.0,0.0
5,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,20117,51403,51403,0.0,0.0,0.0,0.0
6,2.521,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,0,0,0,0.0,0.0,0.0,0.0
7,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions5,15353,344626,94427,0.0,0.0,0.0,0.0
8,2.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,14169,5086,9129,4332.0,10548.0,12941.0,65548.0
9,2.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions5,77800,252096,96526,0.0,0.0,0.0,0.0
10,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW2,32,0,156862,0.0,0.0,0.0,0.0
11,1.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions4,123313,123316,96241,0.0,0.0,0.0,0.0
12,4.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleInterpolate,14860,31640,31640,0.0,0.0,0.0,0.0
13,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,27922,106900,106900,0.0,0.0,0.0,0.0
14,1.26,"[[0, 1], [1, 0], [1, 1]]",DTW3,190453,247525,29101,0.0,0.0,0.0,0.0
15,3.175,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,6125,1915,5427,1396.0,7892.0,3223.0,97966.0
16,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions3,0,0,0,0.0,0.0,0.0,0.0
17,1.0,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,219554,219557,0.0,0.0,0.0,0.0,0.0
18,1.587,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,15608,5967,8572,5323.0,9248.0,16476.0,47091.0
19,1.0,"[[0, 1], [1, 0], [1, 1]]",DTW4,62677,62680,156877,0.0,0.0,0.0,0.0
20,4.0,"[[1, 1], [1, 2], [2, 1]]",DTW1,0,0,0,0.0,0.0,0.0,0.0
21,4.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1]]",DTW1_add3,0,0,0,0.0,0.0,0.0,0.0
22,2.521,"[[1, 1], [1, 2], [2, 1]]",DTW2,0,0,0,0.0,0.0,0.0,0.0
